lei,name
549300MMIZD8222YV754,First Guaranty Mortgage Corporation
549300DMI3W6YLDVSK93,First Home Bank
COOWI3L2W9TPYR3WJX37,First Horizon Bank
5493002LPXKMOZNXUY90,First International Bank & Trust
549300B81YWV4GBENI49,First Internet Bank of Indiana
549300RFSMIRUODUVW59,First Interstate Bank
S0Q3AHZRL5K6VQE35M07,First Merchants Bank
KV8W1JTB8FZ821S5ED75,First Midwest Bank
549300V1JRN7CMTCF305,"First Mortgage Solutions, LLC"
254900OD9TDRYGWJ0N48,First National Bank
549300N34GCCEN8EJE06,First National Bank
254900WTZC5SSKIN2M11,First National Bank of America
LDVFX8JEECFFE8HRWA73,First National Bank of Omaha
5493006KQF5UKZ3Y9N07,First National Bank Texas
549300LHJR6FIWIU8E25,FIRST NATIONS HOME FINANCE CORPORATION
549300ODHOF8ORD47F11,"First New Mexico Bank, Las Cruces"
549300Z77WUYJM3QG591,First PREMIER Bank
YWC0TIKBQM2JV8L4IV08,First Republic Bank
WKN6AF1FCL7BBYGTGI83,First Savings Bank
549300D6J5NNUQ1QZ810,First State Bank
549300C1ICNCM0V37Y02,"First State Bank of St. Charles, Missouri"
549300Q02LGIN9AXKP98,FIRST TECHNOLOGY
549300DMHEHNYZ2OLB41,First United Bank and Trust Company
254900KI7219LQKCI772,First Western Trust Bank
549300OBO7DOF2KOP535,FirstBank
549300KYODJTW38SQV05,"FirstCapital Bank of Texas, National Association"
SS1TRMSN6BRNMOREEV51,"Flagstar Bank, FSB"
549300LXKO1O7CSK5J52,"FLAT BRANCH MORTGAGE, INC."
549300ZIXM1VUXPG4D03,"Florida Capital Bank, National Association"
5493003EAJYUK1F8B139,Fortress Bank
549300WB1KDYDW5IRX09,FortuneBank
549300XZEU2LB7FLWW04,FOUR POINTS
254900RQX8N4HXJIDK44,Franklin Loan Corporation
549300LYRWPSYPK6S325,FREEDOM MORTGAGE CORPORATION
254900HEPQK96AEXHS12,Frontier Bank
